id,requirement,source,locator,status,compliance,evidence,action,owner,due
A01,Capa: 90047/2026; mesma página identifica Compras.gov 035/2026; PNCP compra 35,https://pncp.gov.br/pncp-api/v1/orgaos/46179941000135/compras/2026/380/arquivos/1,"Divergência confirmada, p. 1",CONFIRMADA,DESCONHECIDO,,"Identificar por processo, UASG e controle PNCP; solicitar confirmação da numeração nos modelos",Responsável por licitações / técnico / financeiro a designar,Antes de fechar a proposta; confirmar janela oficial para esclarecimentos
A02,Edital 11.1: 15 dias corridos do recebimento definitivo; minuta 5.1: 5 dias úteis da medição,https://pncp.gov.br/pncp-api/v1/orgaos/46179941000135/compras/2026/380/arquivos/1,"Divergência confirmada, pp. 9 e 21",CONFIRMADA,DESCONHECIDO,,"Pedir harmonização; não financiar operação supondo prazo mais curto. Item 13.8 prevê prevalência do edital, mas os marcos também diferem",Responsável por licitações / técnico / financeiro a designar,Antes de fechar a proposta; confirmar janela oficial para esclarecimentos
A03,Minuta 6.1 exige início no dia seguinte à emissão da ordem,https://pncp.gov.br/pncp-api/v1/orgaos/46179941000135/compras/2026/380/arquivos/1,"Exigência confirmada, p. 22",CONFIRMADA,DESCONHECIDO,,"Demonstrar prontidão de transporte, instalações, pessoal e plataforma antes de assumir obrigação; não presumir implantação de 30 dias",Responsável por licitações / técnico / financeiro a designar,Antes de fechar a proposta; confirmar janela oficial para esclarecimentos
A04,Item 2 da planilha usa 6.000 UN para guarda; TR 1.11-1.12 trata medições mensais e pagamento dos itens 1 e 2,https://pncp.gov.br/pncp-api/v1/orgaos/46179941000135/compras/2026/380/arquivos/1,"Ambiguidade de medição, pp. 12-13",CONFIRMADA,DESCONHECIDO,,"Confirmar unidade caixa/mês, estoque medido, periodicidade e limites; não multiplicar automaticamente o total por 12",Responsável por licitações / técnico / financeiro a designar,Antes de fechar a proposta; confirmar janela oficial para esclarecimentos
A05,Quantidades × unitários exibidos divergem de vários totais; soma dos totais difere do global,https://pncp.gov.br/pncp-api/v1/orgaos/46179941000135/compras/2026/380/arquivos/1,"Aritmética confirmada, p. 13",CONFIRMADA,DESCONHECIDO,,Solicitar valores com precisão original e regra de arredondamento antes de aplicar desconto linear do TR 3.1,Responsável por licitações / técnico / financeiro a designar,Antes de fechar a proposta; confirmar janela oficial para esclarecimentos
A06,PDF/A pesquisável no item 6 e TR 1.8; OCR condicionado à viabilidade técnica em TR 2.4,https://pncp.gov.br/pncp-api/v1/orgaos/46179941000135/compras/2026/380/arquivos/1,"Tensão de especificação, pp. 11-12",CONFIRMADA,DESCONHECIDO,,"Pedir critério de aceite para páginas não reconhecíveis e estimar revisão/OCR, sem prometer pesquisabilidade perfeita",Responsável por licitações / técnico / financeiro a designar,Antes de fechar a proposta; confirmar janela oficial para esclarecimentos
A07,Armazenamento abaixo de 27°C com climatização 24h; seguro e contingência no TR 2.3,https://pncp.gov.br/pncp-api/v1/orgaos/46179941000135/compras/2026/380/arquivos/1,"Obrigações confirmadas, pp. 11-12",CONFIRMADA,DESCONHECIDO,,"Incluir energia, seguro, controles físicos, capacidade e contingência no custo e na prova operacional",Responsável por licitações / técnico / financeiro a designar,Antes de fechar a proposta; confirmar janela oficial para esclarecimentos
A08,24 fretes de até 24h; 52 de até 48h; 620.000 páginas; 6.000 caixas,https://pncp.gov.br/pncp-api/v1/orgaos/46179941000135/compras/2026/380/arquivos/1,"Quantitativos/SLA confirmados, p. 11",CONFIRMADA,DESCONHECIDO,,"Validar distâncias, equipe e capacidade por pico de demanda, não apenas média anual",Responsável por licitações / técnico / financeiro a designar,Antes de fechar a proposta; confirmar janela oficial para esclarecimentos
A09,"Software até 20 usuários, nuvem, perfis, logs e entrega dos arquivos ao final",https://pncp.gov.br/pncp-api/v1/orgaos/46179941000135/compras/2026/380/arquivos/1,"Obrigações confirmadas, pp. 11-13",CONFIRMADA,DESCONHECIDO,,"Conferir direitos de licença, exportação, capacidade e suporte existentes",Responsável por licitações / técnico / financeiro a designar,Antes de fechar a proposta; confirmar janela oficial para esclarecimentos
A10,Proposta readequada em 2h e documentos fora do SICAF em 2h após convocação,https://pncp.gov.br/pncp-api/v1/orgaos/46179941000135/compras/2026/380/arquivos/1,"Janelas confirmadas, pp. 5 e 7",CONFIRMADA,DESCONHECIDO,,Preparar documentos e planilha antes da sessão; prorrogação não presumida,Responsável por licitações / técnico / financeiro a designar,Antes de fechar a proposta; confirmar janela oficial para esclarecimentos
A11,Seção 7 detalha habilitação jurídica/fiscal/social/trabalhista; não foi localizada cláusula específica impondo atestado ou índices contábeis nas 25 páginas,https://pncp.gov.br/pncp-api/v1/orgaos/46179941000135/compras/2026/380/arquivos/1,"Ausência de localização, não dispensa certificada",PENDENTE,DESCONHECIDO,,Não inventar requisito de atestado integrado nem excluir empresa por falta dele; conferir conjunto vigente e esclarecimentos,Responsável por licitações / técnico / financeiro a designar,Antes de fechar a proposta; confirmar janela oficial para esclarecimentos
A12,Índice 13.10 duplica referências a declarações; modelo p. 18 fala em Concorrência Eletrônica,https://pncp.gov.br/pncp-api/v1/orgaos/46179941000135/compras/2026/380/arquivos/1,"Inconsistência editorial confirmada, pp. 10 e 18",CONFIRMADA,DESCONHECIDO,,Conferir referência e modelo aplicável antes de assinatura; pedir orientação sem alterar unilateralmente requisito,Responsável por licitações / técnico / financeiro a designar,Antes de fechar a proposta; confirmar janela oficial para esclarecimentos
